Plot,Lot.,Entry,SeedWt,testwt,pct.moisture,me,loc,notes
101,18-534,Joey,528,39.4,5.4,dual,mcg,
102,17-517,Anka,552,41.4,5.4,dual,mcg,
103,16-510,Wojko,249,35,5.8,dual,mcg,
104,18-538,Tygra,243,34,5.9,dual,mcg,
105,18-535,Canda,228,32.1,6.1,dual,mcg,
106,16-501,Futura 75,632,40.7,5.5,dual,mcg,
107,18-555,Ferimon,139,NA,NA,dual,mcg,
108,16-502,Feli 32,274,39.6,5.7,dual,mcg,
109,18-540,Hele,457,40.2,5.5,dual,mcg,
110,18-541,NWG-331,518,40.2,5.6,dual,mcg,
111,16-508,Bialobrzeskie,135,NA,NA,dual,mcg,
112,18-522,Sterling Gold,1201,43.6,5.5,dual,mcg,
113,18-539,NWG-Elite,296,38.4,5.6,dual,mcg,
114,18-520,Rocky Hemp,1233,39.9,5.6,dual,mcg,
115,18-521,Nebraska (feral),679,43.3,5.5,dual,mcg,
116,16-509,Tygra,157,NA,NA,dual,mcg,
201,16-508,Bialobrzeskie,228,31.8,6.1,dual,mcg,
202,18-541,NWG-331,415,38,5.6,dual,mcg,
203,18-522,Sterling Gold,1226,41.5,5.5,dual,mcg,
204,16-509,Tygra,110,NA,NA,dual,mcg,
205,17-517,Anka,250,34.7,6,dual,mcg,
206,18-521,Nebraska (feral),839,42.5,5.5,dual,mcg,
207,16-501,Futura 75,389,39.4,5.5,dual,mcg,
208,18-540,Hele,422,37.1,5.7,dual,mcg,
209,18-539,NWG-Elite,337,38.6,5.6,dual,mcg,
210,16-510,Wojko,252,35.2,5.8,dual,mcg,
211,18-535,Canda,216,30.2,6.3,dual,mcg,
212,18-538,Tygra,293,37.8,5.5,dual,mcg,
213,18-555,Ferimon,206,28.7,6.7,dual,mcg,
214,18-520,Rocky Hemp,743,42.1,5.5,dual,mcg,
215,18-534,Joey,204,28.7,6.9,dual,mcg,
216,16-502,Feli 32,409,37.7,5.8,dual,mcg,
301,16-502,Feli 32,289,39.6,5.5,dual,mcg,
302,18-520,Rocky Hemp,1014,41.6,5.5,dual,mcg,
303,18-534,Joey,61,NA,NA,dual,mcg,
304,18-521,Nebraska (feral),1290,42.8,5.5,dual,mcg,
305,18-538,Tygra,128,NA,NA,dual,mcg,
306,16-509,Tygra,187,26,7.1,dual,mcg,
307,18-541,NWG-331,387,41.5,5.5,dual,mcg,
308,17-517,Anka,302,39.8,5.6,dual,mcg,
309,18-535,Canda,164,NA,NA,dual,mcg,
310,18-555,Ferimon,232,32.5,6.3,dual,mcg,
311,18-539,NWG-Elite,353,41.2,5.5,dual,mcg,
312,16-501,Futura 75,514,40.6,5.5,dual,mcg,
313,18-522,Sterling Gold,1027,42.1,5.5,dual,mcg,
314,16-508,Bialobrzeskie,134,NA,NA,dual,mcg,
315,18-540,Hele,448,39.9,5.5,dual,mcg,
316,16-510,Wojko,230,32.3,6.4,dual,mcg,
401,18-535,Canda,473,37.7,5.7,dual,mcg,
402,18-541,NWG-331,718,42.6,5.4,dual,mcg,
403,16-508,Bialobrzeskie,197,27.6,7.1,dual,mcg,
404,16-509,Tygra,226,31.6,6.4,dual,mcg,
405,16-510,Wojko,180,25.2,7.2,dual,mcg,
406,18-540,Hele,473,41.4,5.5,dual,mcg,
407,17-517,Anka,295,40.2,5.6,dual,mcg,
408,18-539,NWG-Elite,308,41.8,5.6,dual,mcg,
409,18-555,Ferimon,117,NA,NA,dual,mcg,
410,18-538,Tygra,181,25.3,7.4,dual,mcg,
411,16-502,Feli 32,205,28.6,7.1,dual,mcg,
412,18-522,Sterling Gold,1113,42.2,5.6,dual,mcg,
413,18-534,Joey,101,NA,NA,dual,mcg,
414,18-521,Nebraska (feral),716,43.9,5.5,dual,mcg,
415,18-520,Rocky Hemp,813,41.1,5.6,dual,mcg,
416,16-501,Futura 75,430,40.7,5.6,dual,mcg,
101,16-510,Wojko,400,39.2,5.6,dual,RSGeneva,
102,18-520,Rocky Hemp,200,33.2,6,dual,RSGeneva,
103,16-502,Feli 32,390,42.7,5.4,dual,RSGeneva,
104,18-522,Sterling Gold,250,27,7,dual,RSGeneva,
105,18-538,Tygra,500,42.6,5.3,dual,RSGeneva,
106,18-541,NWG-331,540,42.9,5.6,dual,RSGeneva,
107,18-540,Hele,410,38.1,6.2,dual,RSGeneva,
108,18-539,NWG-Elite,340,39.1,5.9,dual,RSGeneva,
109,18-521,Nebraska (feral),80,NA,NA,dual,RSGeneva,
110,NA,SC-1,210,28.1,6.9,dual,RSGeneva,
111,17-517,Anka,260,34.5,6.9,dual,RSGeneva,
112,18-534,Joey,320,41,5.6,dual,RSGeneva,
113,18-555,Ferimon,290,41.3,5.9,dual,RSGeneva,
114,16-501,Futura 75,330,41,5.8,dual,RSGeneva,
115,18-535,Canda,220,28.4,6.4,dual,RSGeneva,
116,16-508,Bialobrzeskie,220,28.4,6.4,dual,RSGeneva,
117,16-509,Tygra,250,30.7,7.2,dual,RSGeneva,
201,18-534,Joey,430,36.8,6.4,dual,RSGeneva,
202,18-522,Sterling Gold,230,33.4,5.8,dual,RSGeneva,
203,18-541,NWG-331,330,38.2,6.2,dual,RSGeneva,
204,18-535,Canda,460,42.1,5.5,dual,RSGeneva,
205,18-540,Hele,560,37.8,6.4,dual,RSGeneva,
206,18-539,NWG-Elite,480,41.2,6.1,dual,RSGeneva,
207,17-517,Anka,410,45.3,5.3,dual,RSGeneva,
208,16-509,Tygra,580,39.5,5.9,dual,RSGeneva,
209,18-555,Ferimon,90,NA,NA,dual,RSGeneva,
210,16-508,Bialobrzeskie,210,33,6.4,dual,RSGeneva,
211,16-502,Feli 32,290,38.8,6,dual,RSGeneva,
212,18-520,Rocky Hemp,160,24.8,6.1,dual,RSGeneva,
213,NA,SC-1,160,NA,NA,dual,RSGeneva,
214,18-521,Nebraska (feral),520,46.1,5.4,dual,RSGeneva,
215,18-538,Tygra,NA,NA,NA,dual,RSGeneva,
216,16-501,Futura 75,450,43.5,5.5,dual,RSGeneva,
217,16-510,Wojko,180,23.7,7.1,dual,RSGeneva,
301,18-538,Tygra,370,43.2,5.6,dual,RSGeneva,
302,NA,SC-1,250,33,5.5,dual,RSGeneva,
303,18-521,Nebraska (feral),540,46.4,5.3,dual,RSGeneva,
304,18-520,Rocky Hemp,190,26.9,6.8,dual,RSGeneva,
305,18-540,Hele,350,44.7,5.5,dual,RSGeneva,
306,16-508,Bialobrzeskie,580,43.8,5.4,dual,RSGeneva,
307,18-541,NWG-331,370,45.1,5.2,dual,RSGeneva,
308,18-522,Sterling Gold,300,33.3,6,dual,RSGeneva,
309,18-534,Joey,120,NA,NA,dual,RSGeneva,
310,16-501,Futura 75,450,45.9,5.1,dual,RSGeneva,
311,17-517,Anka,260,37.5,6.3,dual,RSGeneva,
312,16-509,Tygra,210,25.9,7.7,dual,RSGeneva,
313,18-539,NWG-Elite,390,37.7,5.9,dual,RSGeneva,
314,16-510,Wojko,180,NA,NA,dual,RSGeneva,
315,18-555,Ferimon,330,43.7,5.5,dual,RSGeneva,
316,18-535,Canda,290,37.4,6.4,dual,RSGeneva,
317,16-502,Feli 32,290,40.3,5.8,dual,RSGeneva,
401,17-517,Anka,650,41.9,5.6,dual,RSGeneva,
402,18-541,NWG-331,560,42.9,5.4,dual,RSGeneva,
403,18-520,Rocky Hemp,190,24.4,7.1,dual,RSGeneva,
404,18-522,Sterling Gold,220,30.4,6.3,dual,RSGeneva,
405,18-535,Canda,400,39.1,5.7,dual,RSGeneva,
406,18-539,NWG-Elite,700,44.8,5.3,dual,RSGeneva,
407,18-538,Tygra,560,36.2,6.2,dual,RSGeneva,
408,16-510,Wojko,260,36,5.8,dual,RSGeneva,
409,NA,SC-1,210,24,7.2,dual,RSGeneva,
410,16-501,Futura 75,420,36.6,6.1,dual,RSGeneva,
411,18-540,Hele,400,40.3,5.5,dual,RSGeneva,
412,16-509,Tygra,200,35.4,6,dual,RSGeneva,
413,16-508,Bialobrzeskie,200,30.1,6.5,dual,RSGeneva,
414,16-502,Feli 32,270,32,7.2,dual,RSGeneva,
415,18-534,Joey,170,NA,NA,dual,RSGeneva,
416,18-521,Nebraska (feral),330,38.2,6.1,dual,RSGeneva,
417,18-555,Ferimon,230,30.9,7.1,dual,RSGeneva,
